X,Y,OBJECTID,DESCRIPTION,IDENTIFIER,LATITUDE,LONGITUDE
-86.175886033042289,39.814210063844044,17867,MLK St & 33rd St,51043,398142025,-861758809
-86.173875032145403,39.809892063096932,17868,MLK St & 30th St,51044,398098845,-861738699
-86.173136031703578,39.80844606286422,17869,MLK St & 29th St,51045,398084385,-861731309
-86.172348731412924,39.806815862681631,17870,MLK St & 28th St,51046,398068083,-861723436
-86.171626731031353,39.805294162441896,17871,MLK St & 27th St,51047,398052866,-861716216
-86.170597330503682,39.80298636202884,17872,MLK St & 25th St,51049,398029788,-861705922
-86.170116930203108,39.80116366171157,17873,MLK St & 24th St,51050,398011561,-861701118
-86.169640230005186,39.799314161374213,17874,MLK St & 23rd St,51051,397993066,-861696351
-86.169442729847816,39.79822266124139,17875,MLK St & Fall Creek Blvd,51052,397982151,-861694376
-86.169000429378599,39.795333360672707,17876,MLK St & 21st St,51053,397953258,-861689953
-86.16856922913793,39.793295660301965,17877,MLK St - 2000 N,51054,397932881,-861685641
-86.168506428892854,39.789937659779277,17878,MLK St & 17th St,51055,397899301,-861685013
-86.168519628773183,39.788650359511479,17879,MLK St & 16th St,51056,397886428,-861685145
-86.168489828475728,39.785826458939567,17880,MLK St & Ransom St,51057,397858189,-861684847
-86.168468028409578,39.784298658729611,17881,MLK St & Drake St,51058,397842911,-861684629
-86.168475428284424,39.783203658445252,17882,MLK St & 12th St,51059,397831961,-861684703
-86.168442128137215,39.781273358174502,17883,MLK St & 10th St,51060,397812658,-861684370
-86.168033827853009,39.779526157891276,17884,MLK St & 09th St,51061,397795186,-861680287
-86.167468927571562,39.777645557501032,17885,MLK St & Saint Clair Ct,51062,397776380,-861674638
-86.210456749228925,39.885939075301515,17886,Michigan Rd & Westlane Rd,51064,398859315,-862104516
-86.186396437990908,39.836241167288307,17887,Michigan Rd & International School,51065,398362336,-861863913
-86.185942137873511,39.835741667260088,17888,Michigan Rd & International School,51066,398357341,-861859370
-86.150874722070398,39.771134857175383,17889,New York St & New Jersey St,51101,397711273,-861508696
-86.148575921449165,39.771081757206041,17890,New York St & East St,51102,397710742,-861485708
-86.145753120514556,39.770996857398991,17891,New York St & College Ave,51103,397709893,-861457480
-86.14364811997585,39.770960657478795,17892,New York St & Davidson St,51104,397709531,-861436430
-86.140163918849026,39.770912057637901,17893,New York St & Dickson St,51106,397709045,-861401588
-86.137260218091498,39.771323957905459,17894,New York St & Highland Ave,51107,397713164,-861372551
-86.135478217656427,39.771348057978422,17895,New York St & Oriental St,51108,397713405,-861354731
-86.133619416977282,39.771380758003502,17896,New York St & Arsenal Ave,51109,397713732,-861336143
-86.128484115480802,39.771062158225511,17897,New York St & Randolph St,51110,397710546,-861284790
-86.125575914637608,39.771120658381115,17898,New York St & Hamilton Ave,51113,397711131,-861255708
-86.123435214018812,39.771332558602325,17899,New York St & Bellive Ave,51114,397713250,-861234301
