OBJECTID,PARCEL_TAG,PARCEL_I,PARCEL_C,STREETADDRESS,CITY,ID,UTILITY_ST,USPS_VACANCY,TAX_DELINQUENT,SURPLUS,REPAIR_ORDER,DEMO_ORDER,IMPROVEMENT,SOURCE,SHAPEAREA,SHAPELEN
3905,1013125,1061273,1061273,2868 INDIANAPOLIS AVE,INDIANAPOLIS,264993,0,1,1,0,0,0,1,MO,4348.70984303884,308.459474548549
3906,1010586,1064212,1064212,2974 N DENNY ST,INDIANAPOLIS,152615,0,1,1,0,0,0,1,MO,7629.7378838425,459.985503761266
3907,1223384,8024317,8024317,7105 RALSTON AVE,INDIANAPOLIS,95523,1,1,1,0,0,0,1,MO,5225.06623046172,304.516305148895
3908,1009178,1015672,1015672,342 W 31ST ST,INDIANAPOLIS,104167,0,1,1,0,0,0,1,MO,4919.9453610132,326.00088762646
3909,1179006,7033186,7033186,10031 RIDGEFIELD DR,INDIANAPOLIS,199635,1,1,1,0,0,0,1,MO,7361.52538489781,367.031858593651
3910,1063384,1094879,1094879,1218 S GRANT AVE,INDIANAPOLIS,24715,0,1,1,0,1,0,1,MO,7750.32236327128,410.042576899315
3911,1063219,1034132,1034132,1322 UNION ST,INDIANAPOLIS,220497,0,1,1,0,0,0,1,MO,3379.22891521944,270.816291777236
3912,1024911,1051593,1051593,2034 BELLEFONTAINE ST,INDIANAPOLIS,172057,1,1,1,1,0,0,0,MO,5232.87466028086,346.366658951968
3913,1029769,1059330,1059330,1622 N RURAL ST,INDIANAPOLIS,197450,0,1,1,0,0,0,1,MO,4500.6922967548,360.045559729267
3914,1050522,1045827,1045827,55 S STATE AVE,INDIANAPOLIS,250668,1,0,1,0,0,0,1,MO,404923.844216942,4405.48130278922
3915,1029511,1050515,1050515,2611 E 17TH ST,INDIANAPOLIS,210193,1,1,1,0,0,0,1,MO,4609.29357038992,367.313180176332
3916,1016356,1071612,1071612,2620 EASTERN AVE,INDIANAPOLIS,263335,0,1,1,1,0,0,0,MO,5217.69271597031,346.668920604061
3917,1046598,1059848,1059848,234 N TACOMA AVE,INDIANAPOLIS,314846,1,0,1,0,0,0,1,MO,15598.7465321262,499.982462956477
3918,1334500,1091135,1091135,3139 ORCHARD AVE,INDIANAPOLIS,234779,0,1,1,0,1,0,1,MO,8275.06738266812,431.003566005975
3919,1195869,7001926,7001926,918 CECIL AVE,INDIANAPOLIS,305416,0,1,1,0,0,0,1,MO,9977.39986706422,499.583363924715
3920,1291253,9022762,9022762,2414 WILKINS ST,INDIANAPOLIS,37837,0,1,1,0,0,0,1,MO,5872.79683642732,363.9241094229
3921,1187467,7021766,7021766,7217 E PLEASANT RUN PKWY SDR,INDIANAPOLIS,190114,0,1,1,0,0,0,1,MO,11149.2645804451,494.676407236004
3922,1012052,1012684,1012684,2919 N DREXEL AVE,INDIANAPOLIS,27659,1,1,1,0,0,0,1,MO,6512.02522488749,405.60051165286
