OBJECTID,STREETNAME,COUNTY,TOWNSHIP,PHOTOYEAR,CONDITION,SHAPELEN
91,SANDI DR,MARION,WASHINGTON,2008, ,264.867844115883
92,SANDI DR,MARION,WASHINGTON,2008, ,327.361833710745
93,SANDI DR,MARION,WASHINGTON,2008, ,147.487624433143
94,SANDI CT,MARION,WASHINGTON,2008, ,1196.08909136299
95,DELBROOK DR,MARION,WASHINGTON,2008, ,819.415371512291
96,DELBROOK DR,MARION,WASHINGTON,2008, ,1288.49678097324
97,VINEYARD DR,MARION,WASHINGTON,2008, ,1412.88550381124
98,VINEYARD DR,MARION,WASHINGTON,2008, ,293.146419381481
99,VINEYARD CT,MARION,WASHINGTON,2008, ,508.416692777132
100,VINEYARD DR,MARION,WASHINGTON,2008, ,328.81008914871
101,WESTBAY CT,MARION,WASHINGTON,2008, ,512.055368171276
102,VINEYARD DR,MARION,WASHINGTON,2008, ,327.786315493618
103,FERN CT,MARION,WASHINGTON,2008, ,511.859995957925
104,VINEYARD DR,MARION,WASHINGTON,2008, ,179.998903342572
105,CENTURION CIR,MARION,WASHINGTON,2008, ,889.630495830044
106,CENTURION CIR,MARION,WASHINGTON,2008, ,146.812723840188
107,CENTURION PKWY,MARION,WASHINGTON,2008, ,423.16204005337
108,CENTURION PKWY,MARION,WASHINGTON,2008, ,570.702931426069
109,CENTURION PKWY,MARION,WASHINGTON,2008, ,396.149446796889
110,CENTURION PKWY,MARION,WASHINGTON,2008, ,182.778941926708
111,ALDGATE LN,MARION,LAWRENCE,2008, ,718.746864493653
112,BROMPTON CT,MARION,LAWRENCE,2008, ,385.401720181784
113,BROMPTON CT,MARION,LAWRENCE,2008, ,483.599277461537
114,FULHAM DR,MARION,LAWRENCE,2008, ,464.359556827342
115,FULHAM DR,MARION,LAWRENCE,2008, ,463.827698610455
116,FULHAM DR,MARION,LAWRENCE,2008, ,488.926966575496
117,FULHAM DR,MARION,LAWRENCE,2008, ,489.325963915917
118,VAUXHALL RD,MARION,LAWRENCE,2008, ,828.246278226402
119,VAUXHALL RD,MARION,LAWRENCE,2008, ,767.146365363897
120,NA,MARION,LAWRENCE,2008, ,737.119096876063
121,NA,MARION,LAWRENCE,2008, ,123.363677274329
122,WOBURN DR,MARION,LAWRENCE,2008, ,820.377961497663
