X,Y,OBJECTID,INTERSECTION_TAG,TYPE1,TYPE2,TYPE3,STREET1,STREET2,STREET3,STREET4,STREET5,STREET6,STREET7,STREET8
-86.221460021132685,39.913309068654321,2099,53945,STREET/STREET,BUILT/BUILT,GRADE,WESLEYAN RD,FOUNDERS RD,,,,,,
-86.128739579162016,39.802386047942861,2100,76337,STREET/STREET,BUILT/BUILT,GRADE,SANGSTER AVE,WENDY LN,,,,,,
-86.325753565602483,39.637542886263752,2101,82931,STREET/STREET,BUILT/BUILT,GRADE,BLUFF POINT DR,STONES BLUFF PL,,,,,,
-86.199444004220936,39.747591063836133,2103,75431,STREET/ALLEY,BUILT/BUILT,GRADE,PERSHING AVE,ALLEY 1375 S,,,,,,
-86.261974506529825,39.872218984483325,2104,50237,STREET/STREET,BUILT/BUILT,GRADE,ECHO WAY,APOLLO WAY,QUAIL RD,,,,,
-86.263945719031284,39.796515101727849,2108,78489,STREET/STREET,BUILT/BUILT,GRADE,AUGUSTA DR E,AUGUSTA DR N,,,,,,
-86.269588673154189,39.839061312212458,2110,50456,STREET/STREET,BUILT/BUILT,GRADE,TAMMIN DR,HAWKEYE CT,SHEEHAN PL,,,,,
-85.961164836699027,39.809627460663293,2111,57168,STREET/STREET,BUILT/BUILT,GRADE,ROTHE WAY,LULLWATER LN,,,,,,
-86.042422110799336,39.738062135540133,2112,86662,STREET/STREET,BUILT/BUILT,GRADE,I-465 049 RAMP N,SHADELAND AVE,I-465 048 RAMP N,,,,,
-86.101872868350881,39.648378877337201,2113,85198,STREET/STREET,BUILT/BUILT,GRADE,LIMA EDR,LIMA NDR,,,,,,
-86.006831400838635,39.827608418759453,2114,94080,STREET/STREET,BUILT/BUILT,GRADE,CAVALIER CT,BREEN DR,,,,,,
-86.007082582612952,39.827150833915127,2115,94081,STREET/STREET,BUILT/BUILT,GRADE,BREEN DR,CAVALIER CT,,,,,,
-85.968450175238331,39.74857916956239,2123,86796,STREET/STREET,BUILT/BUILT,GRADE,TOUCHSTONE WAY,HARNESS WAY,TOUCHSTONE DR,,,,,
-86.142983359192854,39.80690089494589,2125,76929,STREET/STREET,BUILT/BUILT,GRADE,CARROLLTON AVE,28TH ST,,,,,,
-86.136655323144083,39.923808874411677,2126,52270,STREET/STREET,BUILT/BUILT,GRADE,BENCHMARK DR,BENCHVIEW DR,,,,,,
-86.094148254206189,39.827292378013091,2127,81505,STREET/STREET,BUILT/BUILT,GRADE,39TH ST,EUCLID AVE,,,,,,
-86.239413289345961,39.736096998477464,2129,89451,STREET/STREET,BUILT/BUILT,GRADE,REGENT ST,UNNAMED,,,,,,
-86.188169432258135,39.908955894388349,2131,51906,STREET/STREET,BUILT/BUILT,GRADE,DEVONSHIRE CT,CROFT CT,,,,,,
-86.010002907001777,39.695637691495484,2134,91778,STREET/STREET,BUILT/BUILT,GRADE,FIELDING LN,MELVILLE WAY,,,,,,
-86.160384650512455,39.655796277256009,2136,84654,STREET/STREET,BUILT/BUILT,GRADE,HUDDLESTON DR S,HUDDLESTON DR E,,,,,,
-86.085243288012109,39.770431273803695,2137,91844,ALLEY/ALLEY,BUILT/BUILT,GRADE,ALLEY 5025 E,ALLEY 25 N,,,,,,
-86.278692698299011,39.650340199451044,2140,83153,STREET/STREET,BUILT/BUILT,GRADE,MILTON ST,NEWTON ST,,,,,,
-86.149748716610375,39.657698751402144,2141,83711,STREET/STREET,BUILT/BUILT,GRADE,LINDENWOOD DR,HICKORY LN,,,,,,
-86.126681191298189,39.723966795877466,2142,87933,STREET/STREET,BUILT/BUILT,GRADE,DAWSON ST,ALBANY ST,,,,,,
-86.150749914977979,39.804885737453517,2146,77417,STREET/ALLEY,BUILT/BUILT,GRADE,NEW JERSEY ST,ALLEY 2650 N,,,,,,
-86.076918780966778,39.654367890652502,2154,84901,STREET/STREET,BUILT/BUILT,GRADE,COMMERCE CIR,COMMERCE SQUARE DR,,,,,,
-86.028762206517499,39.833414274860672,2155,57877,STREET/STREET,BUILT/BUILT,GRADE,MARTEN CT S,MARTEN CT E,,,,,,
-86.021558811312644,39.794123683363722,2156,70321,STREET/STREET,BUILT/BUILT,GRADE,CHESWICK DR,BRIDGTON DR,,,,,,
-86.273454725618734,39.751235144754943,2160,94650,STREET/STREET,BUILT/BUILT,GRADE,BIRCHCREST DR,HEATHERWOOD DR,,,,,,
-86.050174364361666,39.641172931551019,2163,90283,STREET/STREET,BUILT/BUILT,GRADE,CELESTIAL LN,CAPRICORN DR,,,,,,
-86.099262771865853,39.677150736561359,2165,85867,STREET/STREET,BUILT/BUILT,GRADE,GRAY ARBOR WAY,GRAY ARBOR DR,,,,,,
-86.264664942256104,39.811563419773954,2166,80008,STREET/STREET,BUILT/BUILT,GRADE,ALPINE AVE,VOIGT DR,,,,,,
-86.252196724051714,39.869942114398086,2167,50621,STREET/STREET,BUILT/BUILT,GRADE,ROBIN RUN W,ROBIN RUN E,RED CHALICE RD,,,,,
-86.203421378724556,39.842229803024246,2168,50629,STREET/STREET,BUILT/BUILT,GRADE,BLUFFWOOD DR W,BLUFFWOOD CT,BLUFFWOOD DR N,,,,,
-86.101384369050692,39.694142581197141,2169,85706,STREET/STREET,BUILT/BUILT,GRADE,SHERMAN DR,SHELBYVILLE RD,THOMPSON RD,,,,,
-86.18024731137379,39.656627062383343,2171,91026,STREET/STREET,BUILT/BUILT,GRADE,OAK KNOLL DR,VENETIAN WAY,,,,,,
-86.222320272751418,39.920231799808874,2172,52843,STREET/STREET,BUILT/BUILT,GRADE,DEPAUW BLVD,PURDUE RD,,,,,,
-86.156608203747425,39.739329126957792,2176,89113,STREET/STREET,BUILT/BUILT,GRADE,ALLEY 2075 S,LEGRANDE AVE,PENNSYLVANIA ST,,,,,
-86.2073379219853,39.817152428928011,2177,75373,STREET/STREET,BUILT/BUILT,GRADE,REX DR,GREEN HILLS LN SDR,GREEN HILLS OVLK,,,,,
-86.216438235466129,39.814508862393218,2178,91752,STREET/STREET,BUILT/BUILT,GRADE,LINCOLN RD,33RD ST,,,,,,
-86.030543377107506,39.791654077629111,2184,70992,STREET/STREET,BUILT/BUILT,GRADE,WELLESLEY DR N,WELLESLEY COMMONS,,,,,,
-86.2772050194625,39.836760642150061,2185,50816,STREET/STREET,BUILT/BUILT,GRADE,EAGLE POINTE DR N,EAGLE POINTE DR,EAGLE POINTE DR S,,,,,
-86.123932909163244,39.863093276318402,2188,81510,STREET/STREET,BUILT/BUILT,GRADE,59TH PL,HILLSIDE AVE EDR,,,,,,
-86.326806431320108,39.763657384390505,2190,82290,STREET/STREET,BUILT/BUILT,GRADE,RACEWAY RD,ROCKVILLE RD,,,,,,
-86.313244631218552,39.765252730309228,2191,91757,STREET/STREET,BUILT/BUILT,GRADE,KIRK DR E,KIRK DR W,,,,,,
-86.249085001721085,39.875115230009619,2193,52220,STREET/STREET,BUILT/BUILT,GRADE,PIKE VIEW DR,CROSS KEY DR,,,,,,
-86.049296608238649,39.64183819100684,2194,84881,STREET/STREET,BUILT/BUILT,GRADE,KUNKEL LN,KUNKEL WAY,,,,,,
-86.198759166256892,39.828326681282476,2195,80544,STREET/STREET,BUILT/BUILT,GRADE,41ST ST,ROMMEL DR,,,,,,
-85.969792241588067,39.899246304155035,2196,55377,STREET/STREET,BUILT/BUILT,GRADE,ECHO GROVE CT,ECHO TRAIL,ECHO GROVE PL,,,,,
-86.016008207797682,39.835506299355934,2197,57767,STREET/STREET,BUILT/BUILT,GRADE,RUE BISCAY,RUE RIVIERA,,,,,,
-86.27626380761815,39.81485323077856,2200,79919,STREET/STREET,BUILT/BUILT,GRADE,LIVE OAK RD,FOXFIRE DR,,,,,,
-86.102665169737776,39.657617942112836,2202,85084,STREET/STREET,BUILT/BUILT,GRADE,SNOWFLAKE DR,BOXWOOD DR,,,,,,
-85.953164624795662,39.78212779817774,2203,69495,STREET/STREET,BUILT/BUILT,GRADE,CALZIA LN,WASHINGTON COVE WAY,,,,,,
-85.962027176226343,39.902218245498347,2204,56256,STREET/STREET,BUILT/BUILT,GRADE,FARMHURST LN,SHORERIDGE TERRACE,,,,,,
-86.312848101506759,39.636684972639358,2205,83265,STREET/STREET,BUILT/BUILT,GRADE,MELLOT WAY,LIBERTY MILLS DR,,,,,,
-86.033905578111174,39.70383127701367,2207,91986,STREET/STREET,BUILT/BUILT,GRADE,MATHER LN,VIVA LN,,,,,,
-85.976109088738284,39.697955577940796,2208,91631,STREET/STREET,BUILT/BUILT,GRADE,POKAGON WAY,PATOKA RD,,,,,,
-86.086231669502411,39.687502936323611,2209,91890,STREET/STREET,BUILT/BUILT,GRADE,BLAIRWOOD DR,COVENTRY PARK WAY,,,,,,
-85.982916995489234,39.700217598172394,2210,92055,STREET/STREET,BUILT/BUILT,GRADE,CLIFTY FALLS RD,CORYDON LN,,,,,,
-86.047046788087798,39.692567265840964,2211,91290,STREET/STREET,BUILT/BUILT,GRADE,CEDAR MILL WAY,CEDAR MILL LN,,,,,,
-86.032194287859127,39.704482152802761,2212,91231,STREET/STREET,BUILT/BUILT,GRADE,BALLYBAY DR,MATHER LN,BALLYBAY LN,,,,,
-85.965521205805445,39.862770722184536,2215,92032,STREET/STREET,BUILT/BUILT,GRADE,LONG LAKE LN,LONG LAKE DR,,,,,,
-86.115195609636075,39.735684579704298,2217,92764,ALLEY/ALLEY,BUILT/BUILT,GRADE,ALLEY 2850 E,ALLEY 2325 S,,,,,,
-86.159933908715473,39.756916191896309,2230,94188,ALLEY/ALLEY,BUILT/BUILT,GRADE,ALLEY 775 S,ALLEY 50 W,,,,,,
-85.963177262080052,39.781564762986271,2235,69566,STREET/STREET,BUILT/BUILT,GRADE,ST JOSEPH ST,COOLEE LN,,,,,,
-86.021156751597132,39.825213487530668,2236,57884,STREET/STREET,BUILT/BUILT,GRADE,LOMBARDY PL,37TH PL,,,,,,
-86.137129520700853,39.886338881712682,2249,94868,STREET/ALLEY,BUILT/BUILT,GRADE,EDGEWATER PL,ALLEY 7225 N,,,,,,
-86.165208300131155,39.831598127817372,2266,95755,ALLEY/ALLEY,BUILT/BUILT,GRADE,ALLEY 4175 N,ALLEY 375 W,,,,,,
-86.165225612488697,39.83111896770346,2268,95759,ALLEY/ALLEY,BUILT/BUILT,GRADE,ALLEY 375 W,ALLEY 4125 N,,,,,,
-86.164604297560047,39.831122378171429,2269,95760,ALLEY/ALLEY,BUILT/BUILT,GRADE,ALLEY 4125 N,ALLEY 325 W,,,,,,
-86.055700330767095,39.865017350021134,2270,58883,STREET/STREET,BUILT/BUILT,GRADE,CHAMINOIX LN,CALAIS DR,CALAIS CIR,,,,,
-86.26907584948286,39.906544188739375,2274,50373,STREET/STREET,BUILT/BUILT,GRADE,NORTHWEST BLVD,84TH ST,,,,,,
-86.051244160240373,39.909274278005853,2275,56412,STREET/STREET,BUILT/BUILT,GRADE,MAPLE TREE DR,MAPLE GLEN DR,,,,,,
-86.283054654878484,39.899840629712045,2276,50121,STREET/STREET,BUILT/BUILT,GRADE,FOX LAKE CT,GUNNERY RD,FOX RUN RD,,,,,
-86.146366432272131,39.877767598929104,2281,53817,STREET/STREET,BUILT/BUILT,GRADE,ALLEY 6700 N,RIVERVIEW DR,OLD COLLEGE AVE,,,,,
-85.983170854561237,39.801313331946609,2282,69678,STREET/STREET,BUILT/BUILT,GRADE,CURRY CT,BARIBEAU LN,CURRY DR,,,,,
-86.297859391755068,39.774749401314168,2284,79196,STREET/STREET,BUILT/BUILT,GRADE,WALTON DR,ASHFORD DR,,,,,,
-86.091785782726546,39.920027095737993,2285,55088,STREET/STREET,BUILT/BUILT,GRADE,HYDE PARK WAY,TOWER BRIDGE RD,,,,,,
-86.260197480928824,39.719450986947933,2291,89624,STREET/STREET,BUILT/BUILT,GRADE,CHIEF LN,STOCKBERGER PL,,,,,,
-86.175902407548506,39.661370384514065,2292,84480,STREET/STREET,BUILT/BUILT,GRADE,BARNWELL PL,BARNWELL WAY,,,,,,
-86.120444568936634,39.648000872444285,2293,91087,STREET/STREET,BUILT/BUILT,GRADE,APPLETON DR,GRENADA DR,,,,,,
-86.183570935334131,39.859334126941299,2294,80888,STREET/STREET,BUILT/BUILT,GRADE,58TH ST,DITCH RD,,,,,,
-86.104727289151171,39.686876057088135,2296,85697,STREET/STREET,BUILT/BUILT,GRADE,REDWOOD DR,KEALING AVE,,,,,,
-86.024744236115083,39.893938896364936,2297,56030,STREET/STREET,BUILT/BUILT,GRADE,PINE SPRINGS WDR,PINE SPRINGS EDR,,,,,,
-86.118015522015952,39.744519919143421,2299,92370,ALLEY/ALLEY,BUILT/BUILT,GRADE,ALLEY 2650 E,ALLEY 1750 S,,,,,,
-86.057191818020428,39.664870513579785,2300,95779,STREET/STREET,BUILT/BUILT,GRADE,PHEASANT RIDGE DR,FALCON POINTE LN,,,,,,
-86.139643288115295,39.707826740648429,2306,95815,ALLEY/ALLEY,BUILT/BUILT,GRADE,ALLEY 4025 S,ALLEY 1100 E,,,,,,
-86.138371709129459,39.704599427034864,2308,95836,STREET/ALLEY,BUILT/BUILT,GRADE,MILLS AVE,ALLEY 1125 E,,,,,,
-85.996689093874906,39.903495419422548,2310,56362,STREET/STREET,BUILT/BUILT,GRADE,SWEETCLOVER DR,BELCREST LN,SWEETCLOVER CT,,,,,
-86.254263708858929,39.873454248073209,2311,50381,STREET/STREET,BUILT/BUILT,GRADE,CANE RIDGE RD,PEACE PL,CANE RIDGE CT,,,,,
-85.996560968435659,39.847562530912185,2312,57140,STREET/STREET,BUILT/BUILT,GRADE,JACOB LN,APPLE SPRUCE DR,,,,,,
-86.153221474863471,39.704755795305985,2315,91210,STREET/STREET,BUILT/BUILT,GRADE,DECLARATION DR,INDEPENDENCE DR,,,,,,
-86.113360616876491,39.792362473012382,2316,71567,STREET/STREET,BUILT/BUILT,GRADE,BROOKSIDE PKWY NDR,PARKER AVE,OXFORD ST,,,,,
-86.052357931360291,39.684374266758773,2317,85604,STREET/STREET,BUILT/BUILT,GRADE,BONNEVILLE DR,OLIVE BRANCH LN,SAFARI DR,,,,,
-85.962909752378749,39.796430995630871,2318,69360,STREET/STREET,BUILT/BUILT,GRADE,SILVER DRIFT CT,STAR FIRE DR,SILVER DRIFT WAY,,,,,
-86.312802922235235,39.649294681556732,2319,93435,STREET/STREET,BUILT/BUILT,GRADE,PUCKETT LN,SANSA ST,,,,,,
-85.97869321858991,39.652283194728859,2325,92189,STREET/STREET,BUILT/BUILT,GRADE,PAVILION DR,RETREAT LN,,,,,,
-86.029541834688871,39.81463236114962,2340,58108,STREET/STREET,BUILT/BUILT,GRADE,HUBER ST,BELLWOOD DR,WELLINGTON AVE,,,,,
-85.981688581382215,39.817811479979611,2341,57430,STREET/STREET,BUILT/BUILT,GRADE,MAUMEE DR,MOQUI CT,PAWNEE DR,,,,,
-86.132629828259496,39.698382126672044,2342,88540,STREET/STREET,BUILT/BUILT,GRADE,LUKE CT,LUKE LN,UNKNOWN,,,,,
-86.083365967958414,39.800719854781342,2344,71561,STREET/STREET,BUILT/BUILT,GRADE,I-70 087 RAMP A,I-70 087 RAMP B,,,,,,
-85.969976143626681,39.747020025222071,2346,90697,STREET/STREET,BUILT/BUILT,GRADE,SADDLEBRED DR,SADDLEBRED LN,,,,,,
-86.318835095528868,39.733940417678966,2348,82846,STREET/STREET,BUILT/BUILT,GRADE,BRIDGEPORT RD,WINSTED DR,PORTER ST,ALLEY 8875 W,,,,
-86.071755702792274,39.814146918574025,2351,70219,STREET/ALLEY,BUILT/BUILT,GRADE,LESLEY AVE,ALLEY 3175 N,,,,,,
-86.326026631025101,39.775374636337531,2352,82476,STREET/STREET,BUILT/BUILT,GRADE,MARIWOOD DR,LEMAR LN,,,,,,
-86.051113234406856,39.719732780329387,2353,86553,STREET/STREET,BUILT/BUILT,GRADE,PAYNE RD,HUNTER RD,,,,,,
-86.115179793493766,39.749007345338278,2354,87374,STREET/STREET,BUILT/BUILT,GRADE,OXFORD ST,TERRACE AVE,,,,,,
-86.274853619853815,39.899744394539525,2357,50359,STREET/STREET,BUILT/BUILT,GRADE,GORDON DR,BLOSSOM LN N,,,,,,
-86.010056457211476,39.693294374040534,2358,91787,STREET/STREET,BUILT/BUILT,GRADE,MELVILLE WAY,CARVER DR,,,,,,
-86.055599616799981,39.664823372084193,2359,85417,STREET/STREET,BUILT/BUILT,GRADE,EAGLE TRACE WAY,FALCON POINTE LN,,,,,,
-86.248271629560193,39.782729479751147,2360,78551,STREET/STREET,BUILT/BUILT,GRADE,ALLISON AVE,12TH ST,,,,,,
