X,Y,OBJECTID,ADDRESS_BLOCK,PRE_DIR,STREET_NAME,SUFFIX,SUF_DIR,FULL_ADDRESS,METER_NUMBER,SPACE_NUMBER,SPACE_TYPE,INSTALL_DATE,HOURLY_RATE,DAILY_RATE,RATE_INCREASE_DATE,ZONE_NAME,OP_HOURS,OP_DAYS,PAY_TYPE
-86.143753411711259,39.870704582625621,66865,800,E,WESTFIELD,BLVD,N,800 WESTFIELD BLVD,WF  000838,417,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,04,0700-2100,MON-SAT,SINGLE
-86.153771463639032,39.76688936926481,66866,200,E,WASHINGTON,ST,S,200 E WASHINGTON ST,EW  000227,5033,ADA,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.160801310206224,39.768659197258408,66867,100,W,MARKET,ST,N,100 W MARKET ST,WMA 000120,7379,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.153568139668849,39.771664068052793,66868,300,,MASSACHUSETTS,AVE,,300 MASSACHUSETTS AV,MAS 000325,1312,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.157826634787156,39.775552303883856,66869,0000,W,NORTH,ST,N,0000 W NORTH ST,WN  000002,6035,MULTI SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,MULTI
-86.163718256296562,39.765876739498658,66870,300,W,MARYLAND,ST,N,300 W MARYLAND ST,WMD 000308,7123,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
-86.155925253058669,39.773639682251876,66871,400,N,PENNSYLVANIA,ST,E,400 N PENNSYLVANIA ST,NP  000423,8641,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.142459649898186,39.869685007568023,66872,900,,BROAD RIPPLE,AVE,S,900 BROAD RIPPLE AV,BR  000907,343,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,04,0700-2100,MON-SAT,MULTI
-86.150206356654181,39.775401559998329,66873,400,E,NORTH,ST,N,400 E NORTH ST,EN  000404,6021,SINGLE SPACE,2011-01-01T00:00:00.000Z,1.00,19.00,2012-01-02T00:00:00.000Z,03,0700-1800,MON-FRI,SINGLE
-86.153612484059479,39.771632481900177,66874,300,,MASSACHUSETTS,AVE,,300 MASSACHUSETTS AV,MAS 000321,1310,MULTI SPACE,2011-01-01T00:00:00.000Z,1.50,24.00,2012-01-02T00:00:00.000Z,01,0700-2100,MON-SAT,MULTI
